Co_100_1_T_0.txt;4441;4.9001;466;338;4853.85875%
Co_100_1_T_0.txt;4438;4.90005;466;338;4853.78859%
Co_100_1_T_0.txt;4441;4.90018;466;338;4853.85875%
Co_100_1_T_0.txt;4438;4.90006;466;338;4853.78859%
Co_30_1_NT_0.txt;1064;4.90003;185;47;812.20941%
Co_30_1_NT_0.txt;1061;4.90009;186;48;801.92123%
Co_100_1_NT_0.txt;4482;4.90012;572;367;4310.651246%
Co_100_1_NT_0.txt;4502;4.90021;572;375;4251.10038%
Co_100_1_NT_0.txt;4498;4.90019;572;376;4251.01055%
Co_100_1_NT_0.txt;4541;0.42965;592;365;4331.9762%
Co_100_1_NT_0.txt;4596;0.756566;529;368;4533.21132%
Co_100_1_NT_0.txt;4565;2.3052;537;384;4402.51516%
Co_100_1_NT_0.txt;4562;4.74332;556;375;4392.44779%
Co_100_1_NT_0.txt;4592;4.97204;532;364;4553.12149%
Co_100_1_NT_0.txt;4498;4.90019;570;376;4261.01055%
Co_100_1_NT_0.txt;4502;4.90003;572;375;4251.10038%
Co_100_1_NT_0.txt;4502;4.90011;572;375;4251.10038%
Co_100_1_NT_0.txt;4502;0.00136;572;375;4251.10038%
Co_100_1_NT_0.txt;4502;4.16198;572;375;4251.10038%
Co_100_1_NT_0.txt;4452;4.90008;603;369;420-0.0224568%
Co_100_1_NT_0.txt;4453;4.90036;642;361;4130%
Co_100_1_NT_0.txt;4450;4.90011;611;362;422-0.0673703%
Co_100_1_NT_0.txt;4500;4.90014;557;374;4371.05547%
Co_100_1_NT_0.txt;4502;4.90006;572;375;4251.10038%
Co_100_1_NT_0.txt;4502;4.90007;572;375;4251.10038%
Co_30_1_NT_9.txt;1576;4.90001;220;140;1220.896287%
Co_30_1_NT_9.txt;1591;4.90002;211;148;1181.85659%
Co_30_1_NT_9.txt;1585;4.90001;212;141;1241.47247%
Co_30_1_NT_9.txt;1577;4.90005;211;140;1250.960307%
Co_30_1_NT_9.txt;1577;4.90004;221;140;1210.960307%
Co_30_1_NT_9.txt;1572;4.90004;221;140;1210.640205%
Co_30_1_NT_9.txt;1630;0.16602;233;157;1034.35339%
Co_30_1_NT_9.txt;1594;0.214991;213;148;1182.04866%
Co_30_1_NT_9.txt;1630;0.1594;233;157;1034.35339%
Co_30_1_NT_9.txt;1630;0.17429;233;157;1034.35339%
Co_30_1_NT_9.txt;1630;0.806127;233;157;1034.35339%
Co_30_1_NT_9.txt;1630;0.148805;233;157;1034.35339%
Co_30_1_NT_9.txt;1630;0.164823;233;157;1034.35339%
Co_30_1_NT_9.txt;1630;0.745144;233;157;1034.35339%
